Product Name,Brand,Price,Discount,Link,Image
Max White White Crystals,Colgate,54.0,-15.0,https://www.notino.cz/colgate/max-white-white-crystals-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313835_01-o__240229.jpg
Black is White,Curaprox,72.0,-15.0,https://www.notino.cz/curaprox/black-is-white-kosmeticka-sada-ii/,https://cdn.notinoimg.com/list_2k//curaprox/7612412424614_01-o__170314.jpg
Green Multifunctional,Ecodenta,182.0,-20.0,https://www.notino.cz/ecodenta/green-multifunctional-zubni-pasta-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001335314_01-o__170112.jpg
Biosmalto Mousse,Curasept,182.0,-20.0,https://www.notino.cz/curasept/biosmalto-mousse-pro-obnoveni-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//curasept/8056746071240_01-o__220202.jpg
Expert,Perl Weiss,78.0,-20.0,https://www.notino.cz/perl-weiss/expert-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//perl_weiss/4008890009437_01__240111.jpg
Max Fresh Cooling Crystals,Colgate,78.0,-15.0,https://www.notino.cz/colgate/max-fresh-cooling-crystals-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313255_01-o__220524.jpg
Pro Expert Deep Clean,Oral B,407.0,-15.0,https://www.notino.cz/oral-b/pro-expert-deep-clean-osvezujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106733_01-o__230904.jpg
Kids 6+,Curaprox,814.0,-15.0,https://www.notino.cz/curaprox/kids-6-watermelon-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg
Advanced Clean,Sensodyne,129.0,-20.0,https://www.notino.cz/sensodyne/advanced-clean-zubni-pasta-s-fluoridem-pro-kompletni-ochranu-zubu/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563014757_01-o__170106.jpg
Propolis Healthy Gums,Colgate,258.0,-20.0,https://www.notino.cz/colgate/propolis-healthy-gums-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//colgate/6920354836039_01-o__230510.jpg
Extra Fresh,Parodontax,45.0,-15.0,https://www.notino.cz/parodontax/extra-fresh-zubni-pasta-proti-krvaceni-dasni-80292/,https://cdn.notinoimg.com/list_2k//parodontax/3830029294626_01__140428.jpg
Be You Express Yourself,Curaprox,60.0,-15.0,https://www.notino.cz/curaprox/be-you-express-yourself-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//curaprox/7612412425673_02-o__180918.jpg
Opti-namel Seal & Strengthen,Elmex,73.0,-15.0,https://www.notino.cz/elmex/opti-namel-seal-strengthen-zubni-pasta-chranici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//elmex/7610108054824_01-o__230215.jpg
3D White Luxe Perfection,Blend-a-med,97.33,-15.0,https://www.notino.cz/blend-a-med/3d-white-luxe-perfection-belici-pasta-proti-skvrnam-na-zubni-sklovine/,https://cdn.notinoimg.com/list_2k//blend-a-med/4084500743847_01-o__240426.jpg
Ortho,G.U.M,143.0,0,https://www.notino.cz/gum/ortho-zubni-pasta-pro-uzivatele-fixnich-rovnatek/,https://cdn.notinoimg.com/list_2k//gum/gumortw_ktps40_01__151102.jpg
Sweet & Sour Rhubarb,Marvis,271.67,0,https://www.notino.cz/marvis/marvis-sweet-sour-rhubarb-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111640_01-o__190911.jpg
Natural Toothpaste Tablets with Fluoride,Denttabs,100.0,0,https://www.notino.cz/denttabs/natural-toothpaste-tablets-with-fluoride-zubni-pasta-s-fluoridem-v-tabletach/,https://cdn.notinoimg.com/list_2k//denttabs/4260066813006_01-o__231115.jpg
Girls,Pink Elephant,133.33,0,https://www.notino.cz/pink-elephant/girls-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040913_01__230116.jpg
Sensitivity & Gum,Sensodyne,35.0,0,https://www.notino.cz/sensodyne/sensitivity-gum-zubni-pasta-pro-citlive-zuby-577854/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563157904_01-o__240514.jpg
Pro Expert Professional Protection,Oral B,46.67,0,https://www.notino.cz/oral-b/pro-expert-professional-protection-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106863_01-o__230904.jpg
Exceptional Whitening,Ecodenta,108.0,0,https://www.notino.cz/ecodenta/exceptional-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001337103_01-o__210809.jpg
Biomed Charcoal,Splat,144.0,0,https://www.notino.cz/splat/biomed-charcoal-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//splat/2800015078388_01-o__220908.jpg
Integral 8 Natural Elements,Signal,393.0,0,https://www.notino.cz/signal/integral-8-natural-elements-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8710447328095_01-o__221019.jpg
3D White,Blend-a-med,421.0,0,https://www.notino.cz/blend-a-med/3d-white-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//blend-a-med/ble3dww_ktps05_01__170130.jpg
Gum And Sens Whitening,Parodontax,128.0,-20.0,https://www.notino.cz/parodontax/gum-and-sens-whitening-belici-pasta-na-zuby-5023272/,https://cdn.notinoimg.com/list_2k//parodontax/5054563120434_01-o__220427.jpg
Advanced White Charcoal,Colgate,170.67,-15.0,https://www.notino.cz/colgate/advanced-white-charcoal-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//colgate/8718951253827_01-o__240229.jpg
Clove,Eva,45.0,-15.0,https://www.notino.cz/eva/cloves-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385349_01-o__211115.jpg
Toothpaste Life's a Beach,HAAN,60.0,-15.0,https://www.notino.cz/haan/toothpaste-lifes-a-beach-zubni-pasta-bez-fluoridu-plnitelna/,https://cdn.notinoimg.com/list_2k//haan/5060917120081_01-o__220405.jpg
Menthol,Eva,100.0,-20.0,https://www.notino.cz/eva/menthol-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385356_01-o__211115.jpg
Gum & Enamel Repair Fresh White,Oral B,333.33,-15.0,https://www.notino.cz/oral-b/gum-enamel-repair-extra-fresh-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//oral-b/8001090794413_01-o__240304.jpg
Ewa Chodakowska Sensitive Papaya & Mint,beBIO,163.0,-15.0,https://www.notino.cz/bebio/ewa-chodakowska-sensitive-papaya-prirodni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//bebio/5908233661348_01-o__220824.jpg
Junior,Tołpa,326.0,-15.0,https://www.notino.cz/tolpa/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//tolpa/5902719419263_01-o__210414.jpg
Max White Limited Edition,Colgate,100.0,-20.0,https://www.notino.cz/colgate/max-white-limited-edition-osvezujici-zubni-pasta-limitovana-edice/,https://cdn.notinoimg.com/list_2k//colgate/8718951372498_01-o__230130.jpg
Kids 3+ Years,Colgate,333.33,-20.0,https://www.notino.cz/colgate/kids-3-years-zubni-pasta-pro-deti-3-6-let-s-fluoridem/,https://cdn.notinoimg.com/list_2k//colgate/8718951321434_01-o__200212.jpg
