Product Name,Brand,Price,Link,Image
Fluor,Eva,110,https://www.notino.cz/eva/fluor-belici-zubni-pudr-3-v-1/,https://cdn.notinoimg.com/list_2k//eva/6223001385363_01-o__211115.jpg
Anti Caries Anti Carries,Sensodyne,100,https://www.notino.cz/sensodyne/anti-caries-zubni-pasta-proti-zubnimu-kazu/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563096029_01-o__221027.jpg
PAP Carbon Whitening,White Pearl,199,https://www.notino.cz/white-pearl/pap-carbon-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069333275_01-o__230725.jpg
Max Fresh Cooling Crystals,Colgate,82,https://www.notino.cz/colgate/max-fresh-cooling-crystals-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951313675_01-o__240312.jpg
Desensitizing Enamel-Repair Shock Treatment,Biorepair,191,https://www.notino.cz/biorepair/treatment-of-sensitive-teeth-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//biorepair/brpderw_kset10__150318.jpg
Little Siberica BIO,Natura Siberica,98,https://www.notino.cz/natura-siberica/little-siberica-bio-prirodni-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//natura-siberica/4743318147840_01-o__210401.jpg
White Now Gold,Signal,96,https://www.notino.cz/signal/white-now-gold-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181327155_01-o__230411.jpg
Applemint,Brush Baby,96,https://www.notino.cz/brush-baby/applemint-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//brush_baby/5060178100587_01-o__230613.jpg
Max White Expert Original,Colgate,190,https://www.notino.cz/colgate/max-white-expert-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/7509546064857_01-o__221125.jpg
Kids,Signal,66,https://www.notino.cz/signal/kids-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//signal/8712561103077_01-o__221115.jpg
Travel Set,Chicco,295,https://www.notino.cz/chicco/travel-set-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//chicco/8058664121229_01__231124.jpg
Pure,TePe,138,https://www.notino.cz/tepe/pure-zubni-pasta-mata/,https://cdn.notinoimg.com/list_2k//tepe/7350121253933_01-o__240419.jpg
Set Splat Duo,Splat,302,https://www.notino.cz/splat/set-duo-sadana-zuby/,https://cdn.notinoimg.com/list_2k//splat/7640168937140_01__220927.jpg
Flavour Collection,Marvis,710,https://www.notino.cz/marvis/marvis-flavour-collection-kosmeticka-sada-iii/,https://cdn.notinoimg.com/list_2k//marvis/8004395111008_01-o__190904.jpg
For Kids,Sylveco,125,https://www.notino.cz/sylveco/for-kids-detska-zubni-pasta/,https://cdn.notinoimg.com/list_2k//sylveco/5902249016208_01-o__211103.jpg
Natural Toothpaste Sensitive,BEN&ANNA,135,https://www.notino.cz/benanna/natural-toothpaste-sensitive-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//benanna/4260491220523_01-o__221101.jpg
Natural Extracts Charcoal + White,Colgate,89,https://www.notino.cz/colgate/natural-extracts-charcoal-white-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//colgate/6920354822421_01-o__220801.jpg
Extreme Travel Set,Swissdent,190,https://www.notino.cz/swissdent/extreme-travel-set-sada-zubni-pece/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190334_01-o__220830.jpg
Max Clean Mineral Scrub,Colgate,52,https://www.notino.cz/colgate/max-clean-mineral-scrub-gelova-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//colgate/8718951327085_01-o__200602.jpg
